14 06 2017, 0.00, 11.93
15 06 2017, 0.00, 13.84
16 06 2017, 0.00, 22.73
17 06 2017, 0.00, 14.94
18 06 2017, 0.00, 14.27
19 06 2017, 0.00, 10.01
20 06 2017, 0.00, 7.87
21 06 2017, 0.00, 13.26
22 06 2017, 0.00, 8.79
23 06 2017, 0.00, 16.43
24 06 2017, 0.00, 15.79
25 06 2017, 28.35, 12.68
26 06 2017, 0.00, 14.44
27 06 2017, 1.60, 14.19
28 06 2017, 2.35, 15.77
29 06 2017, 6.48, 14.93
30 06 2017, 0.35, 11.58
01 07 2017, 0.00, 11.66
02 07 2017, 0.00, 10.22
03 07 2017, 0.00, 12.65
04 07 2017, 151.55, 20.93
05 07 2017, 91.70, 16.15
06 07 2017, 4.52, 14.93
07 07 2017, 130.04, 18.39
08 07 2017, 21.24, 14.25
09 07 2017, 21.22, 14.21
10 07 2017, 0.00, 13.36
11 07 2017, 2.94, 12.41
12 07 2017, 0.00, 10.56
13 07 2017, 0.00, 19.92
14 07 2017, 29.42, 12.39
15 07 2017, 10.59, 10.41
16 07 2017, 0.00, 16.06
17 07 2017, 40.16, 19.02
18 07 2017, 203.98, 16.48
19 07 2017, 8.46, 10.22
20 07 2017, 0.00, 8.68
21 07 2017, 0.00, 7.88
22 07 2017, 0.00, 14.87
23 07 2017, 50.00, 15.80
24 07 2017, 0.00, 12.79
25 07 2017, 0.00, 15.10
26 07 2017, 59.31, 13.92
27 07 2017, 0.00, 14.25
28 07 2017, 0.00, 8.39
29 07 2017, 0.00, 12.51
30 07 2017, 27.43, 12.88
31 07 2017, 38.28, 14.15
01 08 2017, 0.00, 10.74
02 08 2017, 0.00, 11.41
03 08 2017, 0.00, 16.36
04 08 2017, 0.00, 14.89
05 08 2017, 4.51, 12.18
06 08 2017, 77.71, 12.89
07 08 2017, 22.91, 10.92
08 08 2017, 2.04, 12.81
09 08 2017, 0.00, 13.16
10 08 2017, 0.00, 18.61
11 08 2017, 25.77, 12.37
12 08 2017, 0.00, 9.88
13 08 2017, 0.00, 11.18
14 08 2017, 0.00, 21.55
15 08 2017, 39.75, 31.72
16 08 2017, 43.43, 12.46
17 08 2017, 340.17, 16.58
18 08 2017, 4.63, 10.63
19 08 2017, 0.00, 11.56
20 08 2017, 0.00, 9.08
21 08 2017, 0.00, 18.99
