12Z 09 03 2017, 0.00, 17.91
00Z 10 03 2017, 0.00, 12.32
12Z 10 03 2017, 0.00, 18.52
00Z 11 03 2017, 0.00, 25.35
12Z 11 03 2017, 15.22, 24.73
00Z 12 03 2017, 432.36, 27.71
12Z 12 03 2017, 16.70, 27.82
00Z 13 03 2017, 8.72, 22.55
12Z 13 03 2017, 0.00, 21.90
00Z 14 03 2017, 0.00, 24.55
12Z 14 03 2017, 0.00, 24.55
00Z 15 03 2017, 0.00, 24.18
12Z 15 03 2017, 0.00, 35.86
00Z 16 03 2017, 1.14, 13.71
12Z 16 03 2017, 0.00, 13.33
00Z 17 03 2017, 0.00, 8.32
12Z 17 03 2017, 0.00, 8.74
00Z 18 03 2017, 0.00, 6.17
12Z 18 03 2017, 0.00, 8.44
00Z 19 03 2017, 0.00, 13.58
12Z 19 03 2017, 0.00, 20.91
00Z 20 03 2017, 0.00, 30.98
12Z 20 03 2017, 418.72, 40.06
00Z 21 03 2017, 198.83, 35.21
12Z 21 03 2017, 14.67, 33.97
00Z 22 03 2017, 0.00, 24.78
12Z 22 03 2017, 0.00, 22.69
00Z 23 03 2017, 0.00, 21.15
12Z 23 03 2017, 0.00, 22.32
00Z 24 03 2017, 0.00, 20.89
12Z 24 03 2017, 0.00, 34.90
00Z 25 03 2017, 0.00, 41.29
12Z 25 03 2017, 0.00, 42.44
00Z 26 03 2017, 0.00, 42.42
12Z 26 03 2017, 41.92, 32.16
00Z 27 03 2017, 1.47, 31.69
12Z 27 03 2017, 0.00, 14.72
00Z 28 03 2017, 8.46, 16.12
12Z 28 03 2017, 0.00, 19.75
00Z 29 03 2017, 17.66, 21.45
12Z 29 03 2017, 0.00, 13.61
00Z 30 03 2017, 0.00, 12.22
12Z 30 03 2017, 0.00, 12.74
00Z 31 03 2017, 0.00, 14.66
12Z 31 03 2017, 46.97, 18.20
00Z 01 04 2017, 0.00, 16.65
12Z 01 04 2017, 0.00, 12.73
00Z 02 04 2017, 0.00, 13.29
12Z 02 04 2017, 2.74, 12.50
00Z 03 04 2017, 0.00, 9.37
12Z 03 04 2017, 0.00, 11.44
00Z 04 04 2017, 0.00, 14.23
12Z 04 04 2017, 19.35, 18.14
00Z 05 04 2017, 0.00, 14.71
12Z 05 04 2017, 0.00, 13.27
00Z 06 04 2017, 0.00, 12.64
12Z 06 04 2017, 0.00, 12.65
00Z 07 04 2017, 0.00, 12.94
12Z 07 04 2017, 0.00, 13.56
00Z 08 04 2017, 0.00, 19.84
12Z 08 04 2017, 15.14, 18.83
00Z 09 04 2017, 0.00, 9.47
12Z 09 04 2017, 7.08, 13.08
00Z 10 04 2017, 0.00, 12.51
12Z 10 04 2017, 0.00, 15.00
00Z 11 04 2017, 0.00, 16.84
12Z 11 04 2017, 0.00, 17.50
00Z 12 04 2017, 0.00, 16.31
12Z 12 04 2017, 0.00, 14.26
00Z 13 04 2017, 0.00, 13.51
12Z 13 04 2017, 0.00, 12.75
00Z 14 04 2017, 0.00, 11.81
12Z 14 04 2017, 0.00, 11.96
00Z 15 04 2017, 0.00, 13.49
12Z 15 04 2017, 0.00, 21.42
00Z 16 04 2017, 0.00, 22.43
12Z 16 04 2017, 0.00, 23.34
00Z 17 04 2017, 0.00, 19.46
12Z 17 04 2017, 0.00, 19.11
00Z 18 04 2017, 0.00, 16.09
12Z 18 04 2017, 0.00, 19.38
00Z 19 04 2017, 0.00, 25.23
12Z 19 04 2017, 337.84, 38.36
00Z 20 04 2017, 35.02, 42.92
12Z 20 04 2017, 423.64, 31.77
00Z 21 04 2017, 13.12, 21.54
12Z 21 04 2017, 0.05, 15.89
00Z 22 04 2017, 0.00, 15.52
12Z 22 04 2017, 0.60, 20.58
00Z 23 04 2017, 41.77, 24.07
12Z 23 04 2017, 0.00, 28.04
00Z 24 04 2017, 32.78, 33.57
12Z 24 04 2017, 519.50, 29.97
00Z 25 04 2017, 64.21, 18.45
12Z 25 04 2017, 36.65, 20.15
00Z 26 04 2017, 0.00, 12.30
12Z 26 04 2017, 2.57, 16.07
00Z 27 04 2017, 8.44, 15.81
12Z 27 04 2017, 23.79, 16.58
00Z 28 04 2017, 7.93, 17.56
12Z 28 04 2017, 2.41, 15.19
00Z 29 04 2017, 9.22, 14.21
12Z 29 04 2017, 0.00, 17.04
00Z 30 04 2017, 0.00, 13.52
12Z 30 04 2017, 0.64, 16.96
00Z 01 05 2017, 35.85, 22.85
12Z 01 05 2017, 26.75, 17.01
00Z 02 05 2017, 0.88, 13.81
12Z 02 05 2017, 0.00, 13.13
00Z 03 05 2017, 0.00, 13.31
12Z 03 05 2017, 0.05, 10.80
00Z 04 05 2017, 0.00, 8.60
12Z 04 05 2017, 0.00, 9.87
00Z 05 05 2017, 0.00, 8.43
12Z 05 05 2017, 0.00, 12.59
00Z 06 05 2017, 0.00, 20.09
12Z 06 05 2017, 0.00, 8.97
00Z 07 05 2017, 0.08, 10.98
12Z 07 05 2017, 0.15, 11.22
00Z 08 05 2017, 0.00, 10.73
12Z 08 05 2017, 0.00, 10.55
00Z 09 05 2017, 0.00, 10.60
12Z 09 05 2017, 0.00, 11.36
00Z 10 05 2017, 0.00, 10.79
12Z 10 05 2017, 0.00, 9.31
00Z 11 05 2017, 0.00, 8.31
12Z 11 05 2017, 0.00, 8.73
00Z 12 05 2017, 0.00, 10.05
12Z 12 05 2017, 0.00, 11.97
00Z 13 05 2017, 0.00, 11.11
12Z 13 05 2017, 0.00, 11.68
00Z 14 05 2017, 0.00, 9.85
12Z 14 05 2017, 0.00, 15.11
00Z 15 05 2017, 0.00, 15.67
12Z 15 05 2017, 0.00, 17.70
00Z 16 05 2017, 0.00, 18.48
12Z 16 05 2017, 0.00, 22.21
00Z 17 05 2017, 0.00, 22.74
12Z 17 05 2017, 16.95, 23.85
00Z 18 05 2017, 0.00, 19.01
12Z 18 05 2017, 2.63, 24.63
00Z 19 05 2017, 0.78, 24.32
12Z 19 05 2017, 138.17, 20.72
00Z 20 05 2017, 2.80, 20.94
12Z 20 05 2017, 9.18, 23.89
00Z 21 05 2017, 0.00, 14.97
12Z 21 05 2017, 0.00, 15.00
00Z 22 05 2017, 0.00, 17.25
12Z 22 05 2017, 294.27, 27.48
00Z 23 05 2017, 34.33, 13.13
12Z 23 05 2017, 116.12, 20.15
00Z 24 05 2017, 10.78, 18.58
12Z 24 05 2017, 0.54, 15.67
00Z 25 05 2017, 0.55, 20.54
12Z 25 05 2017, 115.62, 21.64
00Z 26 05 2017, 3.86, 17.04
12Z 26 05 2017, 0.00, 13.79
00Z 27 05 2017, 0.00, 18.45
12Z 27 05 2017, 165.94, 16.51
00Z 28 05 2017, 61.70, 15.85
12Z 28 05 2017, 14.39, 13.60
00Z 29 05 2017, 0.00, 20.64
12Z 29 05 2017, 7.64, 20.06
00Z 30 05 2017, 2.14, 10.20
12Z 30 05 2017, 0.00, 11.40
00Z 31 05 2017, 0.00, 9.64
12Z 31 05 2017, 0.00, 9.87
00Z 01 06 2017, 0.00, 7.38
12Z 01 06 2017, 0.00, 8.23
00Z 02 06 2017, 0.00, 6.67
12Z 02 06 2017, 0.00, 8.30
00Z 03 06 2017, 0.00, 8.08
12Z 03 06 2017, 0.00, 7.23
00Z 04 06 2017, 0.00, 6.42
12Z 04 06 2017, 0.00, 20.82
00Z 05 06 2017, 0.00, 15.23
12Z 05 06 2017, 8.35, 15.61
00Z 06 06 2017, 0.00, 10.09
12Z 06 06 2017, 0.00, 10.02
00Z 07 06 2017, 0.00, 9.53
12Z 07 06 2017, 0.00, 8.70
00Z 08 06 2017, 0.00, 14.25
12Z 08 06 2017, 0.00, 13.37
00Z 09 06 2017, 0.40, 15.06
12Z 09 06 2017, 2.33, 14.96
00Z 10 06 2017, 0.00, 11.60
12Z 10 06 2017, 0.00, 11.77
00Z 11 06 2017, 0.00, 11.54
12Z 11 06 2017, 0.00, 14.19
00Z 12 06 2017, 0.00, 16.01
12Z 12 06 2017, 29.23, 16.76
00Z 13 06 2017, 0.00, 12.98
12Z 13 06 2017, 0.00, 13.43
00Z 14 06 2017, 0.00, 11.93
12Z 14 06 2017, 0.00, 12.61
00Z 15 06 2017, 0.00, 13.84
12Z 15 06 2017, 0.00, 15.22
00Z 16 06 2017, 0.00, 22.73
12Z 16 06 2017, 18.06, 21.34
00Z 17 06 2017, 0.00, 14.94
12Z 17 06 2017, 0.00, 16.59
00Z 18 06 2017, 0.00, 14.27
09Z 18 06 2017, 0.00, 13.24
00Z 19 06 2017, 0.00, 10.01
12Z 19 06 2017, 0.00, 10.74
00Z 20 06 2017, 0.00, 7.87
12Z 20 06 2017, 0.00, 9.65
00Z 21 06 2017, 0.00, 13.26
12Z 21 06 2017, 0.00, 11.22
00Z 22 06 2017, 0.00, 8.79
12Z 22 06 2017, 0.00, 11.02
00Z 23 06 2017, 0.00, 16.43
12Z 23 06 2017, 0.00, 14.22
00Z 24 06 2017, 0.00, 15.79
12Z 24 06 2017, 18.92, 16.32
00Z 25 06 2017, 28.35, 12.68
12Z 25 06 2017, 20.82, 13.54
00Z 26 06 2017, 0.00, 14.44
12Z 26 06 2017, 22.46, 15.46
00Z 27 06 2017, 1.60, 14.19
12Z 27 06 2017, 9.73, 16.91
00Z 28 06 2017, 2.35, 15.77
12Z 28 06 2017, 0.13, 17.61
00Z 29 06 2017, 6.48, 14.93
12Z 29 06 2017, 48.50, 18.39
00Z 30 06 2017, 0.35, 11.58
12Z 30 06 2017, 0.00, 10.38
00Z 01 07 2017, 0.00, 11.66
12Z 01 07 2017, 0.00, 10.67
00Z 02 07 2017, 0.00, 10.22
12Z 02 07 2017, 0.00, 12.08
00Z 03 07 2017, 0.00, 12.65
12Z 03 07 2017, 66.57, 19.88
00Z 04 07 2017, 151.55, 20.93
12Z 04 07 2017, 150.30, 20.33
00Z 05 07 2017, 91.70, 16.15
12Z 05 07 2017, 14.39, 13.30
00Z 06 07 2017, 4.52, 14.93
12Z 06 07 2017, 28.89, 13.90
00Z 07 07 2017, 130.04, 18.39
12Z 07 07 2017, 38.86, 13.28
00Z 08 07 2017, 21.24, 14.25
12Z 08 07 2017, 138.25, 18.54
00Z 09 07 2017, 21.22, 14.21
12Z 09 07 2017, 22.08, 13.40
00Z 10 07 2017, 0.00, 13.36
12Z 10 07 2017, 20.66, 14.36
00Z 11 07 2017, 2.94, 12.41
12Z 11 07 2017, 0.00, 12.02
00Z 12 07 2017, 0.00, 10.56
12Z 12 07 2017, 0.00, 15.77
00Z 13 07 2017, 0.00, 19.92
12Z 13 07 2017, 21.41, 24.06
00Z 14 07 2017, 29.42, 12.39
