02 01 2017, 0.00, 13.19
03 01 2017, 0.00, 15.61
04 01 2017, 0.00, 19.36
05 01 2017, 240.18, 34.83
06 01 2017, 0.00, 24.70
07 01 2017, 6.89, 45.50
08 01 2017, 0.00, 40.69
09 01 2017, 0.00, 31.41
10 01 2017, 0.00, 15.31
11 01 2017, 0.00, 19.83
12 01 2017, 0.00, 50.69
13 01 2017, 0.00, 16.09
14 01 2017, 0.00, 14.24
15 01 2017, 0.00, 13.16
16 01 2017, 0.00, 12.47
17 01 2017, 0.00, 18.15
18 01 2017, 0.00, 35.07
19 01 2017, 233.08, 62.33
20 01 2017, 0.00, 12.52
21 01 2017, 0.00, 15.07
22 01 2017, 0.00, 45.43
23 01 2017, 14.27, 45.45
24 01 2017, 0.00, 11.77
25 01 2017, 0.00, 11.88
26 01 2017, 0.00, 16.32
27 01 2017, 0.00, 12.97
28 01 2017, 0.00, 18.29
30 01 2017, 0.00, 38.94
31 01 2017, 0.00, 21.18
01 02 2017, 0.00, 15.31
02 02 2017, 0.00, 17.56
03 02 2017, 0.00, 11.88
04 02 2017, 0.00, 45.99
05 02 2017, 0.00, 58.00
06 02 2017, 0.00, 19.44
07 02 2017, 0.00, 28.01
08 02 2017, 0.42, 34.88
09 02 2017, 22.29, 32.97
10 02 2017, 25.81, 39.31
11 02 2017, 0.00, 41.90
12 02 2017, 0.00, 14.95
13 02 2017, 0.09, 18.42
14 02 2017, 0.00, 17.04
15 02 2017, 0.00, 37.04
16 02 2017, 0.00, 18.39
17 02 2017, 47.38, 20.16
18 02 2017, 15.66, 15.35
19 02 2017, 2.84, 21.46
20 02 2017, 0.00, 18.33
21 02 2017, 0.00, 18.64
22 02 2017, 0.02, 18.62
23 02 2017, 0.00, 16.66
24 02 2017, 0.00, 15.97
25 02 2017, 0.00, 17.16
26 02 2017, 0.00, 10.50
27 02 2017, 0.00, 24.82
28 02 2017, 0.00, 27.18
01 03 2017, 0.00, 20.90
02 03 2017, 0.00, 22.72
03 03 2017, 0.00, 18.88
04 03 2017, 0.00, 10.38
05 03 2017, 0.00, 21.46
06 03 2017, 0.00, 24.05
07 03 2017, 0.00, 23.73
08 03 2017, 0.44, 21.49
09 03 2017, 0.00, 17.91
10 03 2017, 0.00, 18.52
11 03 2017, 15.22, 24.73
12 03 2017, 16.70, 27.82
13 03 2017, 0.00, 21.90
14 03 2017, 0.00, 24.55
15 03 2017, 0.00, 35.86
16 03 2017, 0.00, 13.33
17 03 2017, 0.00, 8.74
18 03 2017, 0.00, 8.44
19 03 2017, 0.00, 20.91
20 03 2017, 418.72, 40.06
21 03 2017, 14.67, 33.97
22 03 2017, 0.00, 22.69
23 03 2017, 0.00, 22.32
24 03 2017, 0.00, 34.90
25 03 2017, 0.00, 42.44
26 03 2017, 41.92, 32.16
27 03 2017, 0.00, 14.72
28 03 2017, 0.00, 19.75
29 03 2017, 0.00, 13.61
30 03 2017, 0.00, 12.74
31 03 2017, 46.97, 18.20
01 04 2017, 0.00, 12.73
02 04 2017, 2.74, 12.50
03 04 2017, 0.00, 11.44
04 04 2017, 19.35, 18.14
05 04 2017, 0.00, 13.27
06 04 2017, 0.00, 12.65
07 04 2017, 0.00, 13.56
08 04 2017, 15.14, 18.83
09 04 2017, 7.08, 13.08
10 04 2017, 0.00, 15.00
11 04 2017, 0.00, 17.50
12 04 2017, 0.00, 14.26
13 04 2017, 0.00, 12.75
14 04 2017, 0.00, 11.96
